poi_id,connection_id,connection_type_id,connection_type,power_kw,voltage,amps,current_type_id,current_type,level_id,level,status_type_id,status,quantity,comments,etl_staged_at
475401,798291,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,,2026-02-09T16:28:40.036384
475337,798134,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",120,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Very good to interchange,2026-02-09T16:28:40.036468
474598,796564,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",40,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036578
474596,796562,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036603
474595,796561,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",40,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036623
474594,796560,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036640
474593,796558,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.036656
474592,796557,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036673
474589,796553,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036688
474587,796550,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",25,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036771
474585,796547,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036794
474584,796546,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036810
474582,796543,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",90,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.036825
474580,796540,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036840
474578,796537,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.036856
474576,796532,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036871
474575,796531,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",20,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036886
474574,796530,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036901
474573,796529,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036915
474571,796527,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036936
474570,796526,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",45,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036951
474568,796524,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.036965
474567,796523,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",60,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Shared,2026-02-09T16:28:40.036984
474565,796520,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.036999
474564,796519,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.037013
474563,796518,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",40,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.037028
474562,796517,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",30,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,1,,2026-02-09T16:28:40.037043
474561,796516,33,"{'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}",50,,,30,"{'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}",3,"{'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}",50,,2,Power Sharing,2026-02-09T16:28:40.037058
