station_id,uuid,operator_id,operator_name,usage_type_id,usage_type,status_type_id,status,station_name,address_line1,town,state,postcode,country_id,latitude,longitude,number_of_points,date_last_verified,date_created,etl_staged_at
475401,DB9666B2-7B39-4A75-B34C-1FB0118E7624,3539,Zeon Charging,4,Public - Membership Required,50,Operational,Sai Restaurant & Cafe,NH48,Narayanwadi,Maharashtra ,,106,17.22435243142344,74.18016473328942,2,2026-02-02T00:50:00Z,2026-02-02T00:50:00Z,2026-02-09T16:28:39.349918
475337,583690D9-3F8C-4F0D-9C3A-2700E0FB0B6C,3957,eDrive BPCL (IN),4,Public - Membership Required,50,Operational,Ishyu Restaurant Jetcharge,Near Gopalpura Interchange ,,Rajasthan,,106,24.89141834594497,75.96482113417042,2,2026-02-01T14:21:00Z,2026-02-01T14:21:00Z,2026-02-09T16:28:39.349975
474598,AA3A6C1D-6937-4B9F-AA9A-78318359B323,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Al Ameemi Fast Charging Station,Payyanur Main Road,Payyanur,Kerala,671350,106,12.105660473422844,75.21173432031628,2,2026-01-23T12:49:00Z,2026-01-23T12:49:00Z,2026-02-09T16:28:39.350004
474596,DDF24CBB-9FF7-4349-869B-E55B520F724C,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EQ TP Power | Vellur,NH 66 Kasaragod Kannur Road,Vellur,Kerala,670307,106,12.149897992825927,75.2126366440724,1,2026-01-23T12:46:00Z,2026-01-23T12:46:00Z,2026-02-09T16:28:39.350030
474595,5598E661-799C-459A-9C2B-BB187DF10232,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EQ Sprinkle EVCS | Thaliparamba,NH 66,Thaliparamba,Kerala,670143,106,12.048654635370426,75.34628006166724,2,2026-01-23T12:44:00Z,2026-01-23T12:44:00Z,2026-02-09T16:28:39.350053
474594,6DB9015B-1D19-47C6-880C-9CA8DB42FF10,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Chirakkal Bank EVCS,Kasargod Kannur Calicut Highway,Chirakkal,Kerala,670022,106,11.91670441912386,75.35830443320492,1,2026-01-23T12:42:00Z,2026-01-23T12:42:00Z,2026-02-09T16:28:39.350098
474593,6437B8D8-2CC2-458F-8E74-64E26BDED1A6,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,VAN-V | EVOK | Panamaram,Mananthavady- Kalpetta Road,Panamaram,Kerala,673124,106,11.72574709855104,76.07767336604513,2,2026-01-23T12:38:00Z,2026-01-23T12:38:00Z,2026-02-09T16:28:39.350121
474592,31643BE5-DF6C-4FBA-AD8F-715BAFA99F68,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,JetEV Nest Developers | Kambalakkad,Mananthavady- Kalpetta Road,Kamabalakkad,Kerala,673122,106,11.6678126676712,76.07946996948226,1,2026-01-23T12:36:00Z,2026-01-23T12:36:00Z,2026-02-09T16:28:39.350143
474589,8FED26B4-DB7F-4B27-9FB4-E57FAD5D0C54,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Ecozone EVCS | Ulliyeri,Kuttiyadi Road,Ulliyeri,Kerala,673315,106,11.446514859247145,75.77262022445586,1,2026-01-23T12:29:00Z,2026-01-23T12:29:00Z,2026-02-09T16:28:39.350165
474587,5FA22171-5F6B-4B6A-936E-07EEB1107122,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Flash Charge EVCS | Thirivangoor,NH 66 - Kozhikode Bypass`,Thirivangoor,,673304,106,11.38212989549119,75.73661185868718,1,2026-01-23T12:19:00Z,2026-01-23T12:19:00Z,2026-02-09T16:28:39.350187
474585,AB8304AA-FC67-4A51-91FC-6312BABB5215,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Kairali EVCS | Vengalam,Kannur Road,Vengalam,Kerala,673318,106,11.364746011174972,75.73944992877182,2,2026-01-23T12:13:00Z,2026-01-23T12:13:00Z,2026-02-09T16:28:39.350207
474584,BFBD8F81-70F7-4223-A388-D88DE25809E7,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EVM Citroen Calicut,Kannur Road,Kozhikode,Kerala,673005,106,11.30428542732038,75.75957892280337,1,2026-01-23T12:06:00Z,2026-01-23T12:06:00Z,2026-02-09T16:28:39.350228
474582,E97F1A78-2AD9-4B85-A5F1-9F57A215F122,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Shakti | EVOK Charging Hub,Chinmaya Road,Kozhikode,Kerala,673016,106,11.257841246701844,75.81018791903341,2,2026-01-23T12:03:00Z,2026-01-23T12:03:00Z,2026-02-09T16:28:39.350248
474580,24CC24F3-5319-48E7-9A05-2651E4F107F2,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EcoVolt EVCS | EVOK | Pantheerankavu,NH 66,Pantheerankavu,Kerala,673027,106,11.235354677733028,75.84566829942764,2,2026-01-23T12:01:00Z,2026-01-23T12:01:00Z,2026-02-09T16:28:39.350269
474578,8F077AD4-6355-44B4-B9FD-0C2934131121,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Bisluck Energy EVCS | Vattaparamba,Edavannapara - Kondotty Road,Edavannappara,Kerala,673648,106,11.16434134008496,75.96400736946612,2,2026-01-23T11:57:00Z,2026-01-23T11:57:00Z,2026-02-09T16:28:39.350337
474576,A1454E95-B6C1-46B3-9595-3EB578A6E6E1,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Elite EVOK Charging Hub | Perinthalmanna,Perinthalmanna-Mannarkkad-Palakkad Road,Perinthalmanna,Kerala,679322,106,10.977749605167759,76.242862885499,2,2026-01-23T11:52:00Z,2026-01-23T11:52:00Z,2026-02-09T16:28:39.350424
474575,DCEA8508-9089-48C5-B04C-4595E812A6D9,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,Sam EVCV | Perinthalmanna,Valanchery Nilambur Road,Parinthalmanna,Kerala,679338,106,10.950358143496459,76.16323671441523,1,2026-01-23T11:49:00Z,2026-01-23T11:49:00Z,2026-02-09T16:28:39.350464
474574,901DF2BD-C9DA-4A5D-AEB9-9844A7397DBC,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,BP Angadi | EVOK | Tirur,Tirur Chamravattom Road,Tirur,Kerala,676101,106,10.886313623740861,75.93057433099898,1,2026-01-23T11:48:00Z,2026-01-23T11:46:00Z,2026-02-09T16:28:39.350489
474573,B5B9C6B0-799F-45A2-850A-0A28AFD0667F,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EVee Buddy | Town Plug EVCS | Palakkad,Racket Court Road,Palakkad,Kerala,678001,106,10.76489386251312,76.65199428138283,1,2026-01-23T11:32:00Z,2026-01-23T11:32:00Z,2026-02-09T16:28:39.350509
474571,43F898A7-2221-41AA-BDD2-8331D3509807,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EVMOD EVCS | Pudussery,NH Service Road,Kanjikode,Kerala,678621,106,10.796990864937015,76.76440925644602,2,2026-01-23T11:30:00Z,2026-01-23T11:30:00Z,2026-02-09T16:28:39.350529
474570,D57208E8-38F2-40F2-92B4-3A38B3B38B89,3780,ChargeMod (IN),4,Public - Membership Required,50,Operational,EVDay EVCS | Ottappalam | Manissery,Ottappalam-Kulapully-Shornur Road,Ottappalam,Kerala,679522,106,10.777715299374591,76.34122770419708,2,2026-01-23T11:27:00Z,2026-01-23T11:27:00Z,2026-02-09T16:28:39.350550
